Fecha,3/1/2020,3/2/2020,3/3/2020,3/4/2020,3/5/2020,3/6/2020,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020
Ciudad Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4536,4681,4628,4648,4672,4744,4764,4794,4845,4878,4904,4930,5045,5115,5171,5237,5300,5353,5379,5399
Albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367,2404,2467,2486,2511,2573,2623,2680,2777,2789,2803,2831,2917,2956,3015,3100,3131,3133,3131,3173
Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212,2249,2309,2390,2427,2408,2433,2498,2601,2612,2607,2580,2593,2606,2628,2649,2708,2734,2742,2758
Guadalajara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1063,1126,1170,1191,1206,1222,1247,1288,1295,1365,1423,1431,1475,1510,1531,1542,1595,1601,1604,1603
Cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,838,897,895,924,1000,1030,1029,1143,1269,1309,1390,1444,1627,1808,1869,1965,2040,2090,2203,2212
Total CLM,1,3,6,12,13,15,16,21,24,37,69,170,192,278,386,538,627,744,955,1312,1669,,1852,2196,2446,2972,3414,3867,4471,4984,5420,5876,6334,7028,7678,7827,8211,8547,8976,9401,9650,9768,9790,9896,9672,9927,9977,10545,10598,10699,10597,10728,10844,10792,11016,11357,11469,11639,11816,11977,12096,12403,12787,12953,13127,13216,13657,13995,14214,14493,14774,14911,15059,15145
Ciudad Real,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,-53,20,24,72,20,30,51,33,26,26,115,70,56,66,63,53,26,20
Albacete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,63,19,25,62,50,57,97,12,14,28,86,39,59,85,31,2,-2,42
Toledo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,60,81,37,-19,25,65,103,11,-5,-27,13,13,22,21,59,26,8,16
Guadalajara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,44,21,15,16,25,41,7,70,58,8,44,35,21,11,53,6,3,-1
Cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,-2,29,76,30,-1,114,126,40,81,54,183,181,61,96,75,50,113,9
Nuevos CLM,1,2,3,6,1,2,1,5,3,13,32,101,22,86,108,152,89,117,211,357,357,,183,344,250,526,442,453,604,513,436,456,458,694,650,149,384,336,429,425,249,118,22,106,-224,255,50,568,53,101,-102,131,116,-52,224,341,112,170,177,161,119,307,384,166,174,89,441,338,219,279,281,137,148,86
