Fecha,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020
Ciudad Real,,,,2,5,7,9,13,21,28,40,,51,59,67,89,89,117,145,179,218,245,272,291,312,346,364,370,400,428,479,503,533,585,647,659,674,708,743,770,802,835,863,891,911,921,933,944,952,963,970,979,990,996,998,1000,1007,1012,1022,1023,1026,1030,1034,1042
Albacete,,1,1,1,1,5,5,15,20,28,32,,37,53,60,66,83,101,122,133,148,156,170,183,194,208,241,252,263,280,299,309,315,322,331,338,344,347,354,358,373,377,393,397,402,409,415,419,427,436,439,444,454,457,461,464,470,470,473,477,482,490,495,500
Toledo,,,,1,2,3,7,11,14,19,28,,38,50,65,78,80,98,131,155,181,205,234,254,276,287,307,331,352,370,393,403,414,431,442,454,463,472,484,497,504,518,530,534,563,569,575,580,584,595,600,610,614,625,638,651,663,678,693,704,716,726,736,744
Guadalajara,,,,,,,,,3,4,4,,36,36,49,56,75,79,86,93,97,100,105,109,118,121,124,128,133,134,137,139,148,153,154,157,168,176,180,184,186,187,189,194,199,202,205,210,213,215,220,222,223,225,225,227,228,231,234,237,238,241,244,247
Cuenca,,,,2,2,2,2,3,4,5,8,,13,18,22,27,40,53,55,62,64,68,73,79,89,93,96,96,107,110,123,129,133,135,140,147,147,149,152,154,156,158,165,172,180,191,202,212,220,227,234,243,253,262,268,274,279,286,291,297,297,299,302,302
Total CLM,,1,1,6,10,17,23,42,62,84,112,,175,216,263,316,367,448,539,622,708,774,854,916,989,1055,1132,1177,1255,1322,1431,1483,1543,1626,1714,1755,1796,1852,1913,1963,2021,2075,2140,2188,2255,2292,2330,2365,2396,2436,2463,2498,2534,2565,2590,2616,2647,2677,2713,2738,2759,2786,2811,2835
Ciudad Real,,0,0,2,3,2,2,4,8,7,12,,11,8,8,22,0,28,28,34,39,27,27,19,21,34,18,6,30,28,51,24,30,52,62,12,15,34,35,27,32,33,28,28,20,10,12,11,8,11,7,9,11,6,2,2,7,5,10,1,3,4,4,8
Albacete,,1,0,0,0,4,0,10,5,8,4,,5,16,7,6,17,18,21,11,15,8,14,13,11,14,33,11,11,17,19,10,6,7,9,7,6,3,7,4,15,4,16,4,5,7,6,4,8,9,3,5,10,3,4,3,6,0,3,4,5,8,5,5
Toledo,,0,0,1,1,1,4,4,3,5,9,,10,12,15,13,2,18,33,24,26,24,29,20,22,11,20,24,21,18,23,10,11,17,11,12,9,9,12,13,7,14,12,4,29,6,6,5,4,11,5,10,4,11,13,13,12,15,15,11,12,10,10,8
Guadalajara,,0,0,0,0,0,0,0,3,1,0,,32,0,13,7,19,4,7,7,4,3,5,4,9,3,3,4,5,1,3,2,9,5,1,3,11,8,4,4,2,1,2,5,5,3,3,5,3,2,5,2,1,2,0,2,1,3,3,3,1,3,3,3
Cuenca,,0,0,2,0,0,0,1,1,1,3,,5,5,4,5,13,13,2,7,2,4,5,6,10,4,3,0,11,3,13,6,4,2,5,7,0,2,3,2,2,2,7,7,8,11,11,10,8,7,7,9,10,9,6,6,5,7,5,6,0,2,3,0
Nuevos CLM,,1,0,5,4,7,6,19,20,22,28,,63,41,47,53,51,81,91,83,86,66,80,62,73,66,77,45,78,67,109,52,60,83,88,41,41,56,61,50,58,54,65,48,67,37,38,35,31,40,27,35,36,31,25,26,31,30,36,25,21,27,25,24
